Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection
Operations Manager,Healthcare,Large,Berlin,Low,Low,Machine Learning,103526.20,Yes,Growth
UX Designer,Retail,Small,San Francisco,Medium,Medium,Cybersecurity,87252.92,Yes,Stable
Product Manager,Education,Large,Toronto,Low,High,Machine Learning,110181.31,Yes,Growth
UX Designer,Healthcare,Large,Sydney,Medium,Medium,Python,86291.41,No,Stable
HR Manager,Energy,Small,New York,High,High,Machine Learning,61369.64,Yes,Growth
AI Researcher,Energy,Small,Singapore,Medium,High,JavaScript,101945.50,No,Stable
AI Researcher,Technology,Small,Singapore,Medium,Low,Sales,76527.54,Yes,Growth
Software Engineer,Finance,Medium,San Francisco,High,High,Project Management,85332.65,Yes,Decline
Product Manager,Telecommunications,Small,London,Low,Medium,Machine Learning,114751.44,Yes,Stable
Cybersecurity Analyst,Entertainment,Large,Tokyo,Medium,High,Data Analysis,66782.59,Yes,Stable
Software Engineer,Manufacturing,Small,Tokyo,Medium,High,Sales,93294.88,Yes,Decline
UX Designer,Education,Large,New York,High,Low,Sales,89189.63,Yes,Growth
Software Engineer,Retail,Medium,Dubai,Low,High,Machine Learning,104018.51,No,Stable
UX Designer,Telecommunications,Large,Dubai,Medium,High,Sales,107103.07,Yes,Stable
Data Scientist,Healthcare,Large,Berlin,High,Medium,Marketing,95276.78,Yes,Growth
AI Researcher,Energy,Small,Toronto,Medium,Low,Machine Learning,82792.51,Yes,Decline
Data Scientist,Education,Small,Paris,High,Low,Python,99467.45,Yes,Growth
Operations Manager,Manufacturing,Large,London,Low,Low,Cybersecurity,116713.12,No,Growth
Product Manager,Entertainment,Small,Sydney,Low,High,JavaScript,89454.20,Yes,Growth
Cybersecurity Analyst,Technology,Medium,Paris,Low,Low,UX/UI Design,84654.88,Yes,Stable
UX Designer,Manufacturing,Medium,Paris,Low,High,Communication,97763.41,Yes,Decline
Cybersecurity Analyst,Education,Small,Singapore,Medium,High,Sales,90774.54,Yes,Decline
UX Designer,Manufacturing,Medium,New York,Medium,Medium,Python,63245.81,No,Growth
HR Manager,Education,Small,Tokyo,Low,Medium,Project Management,94786.62,Yes,Stable
Software Engineer,Education,Large,Berlin,Low,Medium,Project Management,63064.75,No,Growth
Operations Manager,Transportation,Large,Dubai,Low,Medium,Communication,97489.61,Yes,Stable
AI Researcher,Retail,Medium,New York,Medium,Medium,JavaScript,74057.15,No,Stable
UX Designer,Energy,Small,Singapore,Low,High,Sales,90737.50,No,Stable
Cybersecurity Analyst,Transportation,Small,Sydney,Low,High,Marketing,97811.88,Yes,Stable
Operations Manager,Entertainment,Medium,Berlin,Low,Low,Communication,139078.07,Yes,Decline
Marketing Specialist,Transportation,Large,Singapore,High,High,JavaScript,104855.00,No,Stable
Marketing Specialist,Finance,Medium,Tokyo,Low,High,Sales,117295.98,No,Stable
Data Scientist,Finance,Large,Tokyo,High,Medium,Python,127434.96,Yes,Growth
AI Researcher,Energy,Small,Tokyo,High,High,Cybersecurity,99785.12,No,Growth
HR Manager,Manufacturing,Large,New York,Low,Medium,Marketing,95713.80,No,Decline
Cybersecurity Analyst,Retail,Medium,New York,High,Low,UX/UI Design,68665.58,No,Growth
Software Engineer,Energy,Small,Dubai,Low,Low,Project Management,87667.40,Yes,Stable
Software Engineer,Education,Medium,Dubai,Medium,High,Data Analysis,75538.25,No,Growth
Cybersecurity Analyst,Healthcare,Medium,Sydney,Medium,Low,Python,81978.82,No,Decline
Product Manager,Retail,Large,Berlin,Medium,High,Project Management,127413.27,No,Growth
HR Manager,Retail,Medium,San Francisco,Medium,Low,Machine Learning,92292.43,Yes,Growth
Operations Manager,Education,Large,San Francisco,High,Medium,Data Analysis,72482.01,Yes,Decline
UX Designer,Education,Small,Singapore,Low,Medium,Project Management,117490.67,No,Decline
Product Manager,Technology,Large,Tokyo,Low,Medium,JavaScript,109105.51,Yes,Stable
UX Designer,Energy,Small,Berlin,Low,Medium,Marketing,110153.07,No,Growth
UX Designer,Education,Large,Paris,Medium,High,Project Management,49877.40,Yes,Stable
Product Manager,Finance,Medium,New York,Medium,Low,UX/UI Design,128973.42,Yes,Growth
Data Scientist,Entertainment,Large,Toronto,Low,High,Cybersecurity,78829.71,No,Growth
Marketing Specialist,Healthcare,Large,London,Medium,Medium,JavaScript,105559.10,Yes,Stable
UX Designer,Energy,Small,Sydney,Low,High,Python,140476.00,Yes,Growth
Product Manager,Telecommunications,Medium,Tokyo,Low,Low,Python,133106.65,Yes,Growth
Product Manager,Finance,Large,Tokyo,Low,High,Python,70448.76,No,Growth
Sales Manager,Manufacturing,Medium,Tokyo,Low,Low,Python,61109.65,Yes,Decline
Data Scientist,Education,Large,New York,Low,High,Cybersecurity,118606.93,Yes,Stable
AI Researcher,Telecommunications,Large,New York,Low,Low,Project Management,92841.12,No,Decline
Sales Manager,Education,Medium,London,Low,Low,Sales,79982.37,Yes,Stable
Sales Manager,Retail,Large,Paris,Medium,Medium,Project Management,102424.37,Yes,Stable
Cybersecurity Analyst,Finance,Medium,Berlin,Low,Low,Machine Learning,86742.41,Yes,Growth
Marketing Specialist,Retail,Large,Tokyo,Low,Medium,Marketing,104026.48,Yes,Stable
Product Manager,Technology,Small,San Francisco,Medium,Medium,Data Analysis,91339.64,Yes,Decline
Marketing Specialist,Retail,Medium,Dubai,Medium,Medium,Sales,104447.76,No,Decline
HR Manager,Technology,Large,San Francisco,Medium,High,Sales,72109.35,No,Decline
Cybersecurity Analyst,Technology,Large,Singapore,Low,High,Project Management,118489.24,Yes,Stable
AI Researcher,Telecommunications,Small,San Francisco,High,High,Sales,103952.47,Yes,Decline
Marketing Specialist,Education,Medium,Singapore,High,High,Communication,102925.95,Yes,Stable
Software Engineer,Manufacturing,Large,Toronto,Medium,Low,Communication,67646.60,No,Decline
UX Designer,Retail,Small,Dubai,High,Low,Machine Learning,123992.65,No,Decline
HR Manager,Finance,Large,San Francisco,Medium,High,Data Analysis,89725.68,Yes,Stable
Data Scientist,Technology,Medium,Toronto,Low,Low,UX/UI Design,104560.98,Yes,Decline
AI Researcher,Education,Large,Sydney,High,Low,Cybersecurity,83543.51,No,Growth
HR Manager,Healthcare,Large,Berlin,Low,Medium,Project Management,95217.78,Yes,Stable
UX Designer,Energy,Large,Toronto,High,Medium,Cybersecurity,95942.55,No,Stable
Cybersecurity Analyst,Telecommunications,Large,Berlin,Low,Medium,UX/UI Design,33601.38,No,Stable
UX Designer,Manufacturing,Small,San Francisco,High,Medium,Project Management,101648.96,Yes,Growth
Sales Manager,Transportation,Small,Paris,Low,Low,Project Management,129306.83,No,Stable
UX Designer,Telecommunications,Medium,Toronto,Low,High,Data Analysis,100795.61,Yes,Decline
Sales Manager,Healthcare,Small,Dubai,High,Low,Cybersecurity,70845.84,Yes,Decline
Cybersecurity Analyst,Energy,Small,San Francisco,Low,Low,Communication,102999.23,Yes,Decline
Operations Manager,Healthcare,Medium,Tokyo,Low,Low,Python,111189.61,Yes,Stable
Sales Manager,Retail,Small,New York,Low,Medium,Cybersecurity,100249.33,Yes,Decline
Data Scientist,Technology,Small,Toronto,High,Medium,Marketing,88517.46,Yes,Stable
UX Designer,Manufacturing,Medium,Dubai,High,Medium,Marketing,85157.02,No,Decline
UX Designer,Entertainment,Medium,Sydney,Low,High,Project Management,85073.80,No,Growth
Data Scientist,Technology,Medium,Tokyo,Low,Low,Python,103955.54,No,Growth
Software Engineer,Entertainment,Large,Sydney,High,High,JavaScript,61857.52,No,Growth
Product Manager,Energy,Large,San Francisco,High,Medium,UX/UI Design,82562.54,Yes,Growth
Operations Manager,Education,Medium,New York,Low,High,Machine Learning,121912.20,No,Stable
AI Researcher,Transportation,Medium,Toronto,Low,Low,Python,122683.91,No,Decline
Sales Manager,Finance,Medium,Toronto,Low,Low,Machine Learning,60437.06,No,Growth
Data Scientist,Technology,Large,Paris,Medium,Medium,Cybersecurity,67371.73,Yes,Stable
Cybersecurity Analyst,Manufacturing,Large,Paris,High,Medium,Cybersecurity,84587.59,No,Growth
Sales Manager,Healthcare,Small,San Francisco,Medium,High,Machine Learning,107851.79,Yes,Growth
Product Manager,Manufacturing,Small,San Francisco,High,Medium,UX/UI Design,53450.51,No,Stable
Cybersecurity Analyst,Energy,Medium,New York,High,Medium,Python,88903.83,Yes,Stable
HR Manager,Entertainment,Large,Paris,High,Low,JavaScript,80516.42,Yes,Decline
UX Designer,Healthcare,Large,Dubai,High,Medium,Project Management,116519.29,No,Decline
HR Manager,Finance,Large,Dubai,High,Medium,Data Analysis,56461.83,Yes,Growth
Sales Manager,Finance,Medium,New York,High,Low,Cybersecurity,91850.81,Yes,Growth
Product Manager,Technology,Small,Dubai,High,Low,Marketing,82127.81,No,Decline
Operations Manager,Energy,Medium,Singapore,Medium,High,UX/UI Design,119395.98,No,Decline
Sales Manager,Education,Small,Berlin,Low,Medium,Data Analysis,101953.05,No,Stable
Data Scientist,Energy,Small,New York,Low,Low,JavaScript,78283.69,Yes,Decline
Marketing Specialist,Entertainment,Medium,New York,Medium,High,Sales,107067.73,Yes,Decline
Sales Manager,Manufacturing,Small,London,Medium,High,Project Management,82223.42,Yes,Growth
UX Designer,Finance,Small,Tokyo,Medium,Medium,Cybersecurity,109986.59,No,Decline
UX Designer,Manufacturing,Large,Tokyo,Medium,Medium,Project Management,85258.46,Yes,Growth
Sales Manager,Manufacturing,Small,Singapore,High,High,Data Analysis,111093.33,Yes,Decline
Cybersecurity Analyst,Manufacturing,Medium,Paris,Low,Low,Project Management,98721.64,Yes,Stable
Marketing Specialist,Finance,Medium,San Francisco,High,High,Sales,155209.82,Yes,Decline
Data Scientist,Telecommunications,Small,San Francisco,Low,Medium,Data Analysis,88942.08,Yes,Decline
Sales Manager,Retail,Large,Sydney,Low,Low,Cybersecurity,97657.25,Yes,Decline
Cybersecurity Analyst,Entertainment,Large,Singapore,Medium,Low,Python,80411.51,Yes,Growth
UX Designer,Telecommunications,Small,New York,High,High,Marketing,90053.71,No,Stable
UX Designer,Entertainment,Small,Singapore,Medium,Medium,Data Analysis,35963.30,No,Decline
Product Manager,Healthcare,Medium,Singapore,High,High,Communication,99311.68,No,Growth
Sales Manager,Energy,Small,Singapore,Low,High,Sales,116857.48,Yes,Stable
Marketing Specialist,Energy,Large,Tokyo,Medium,High,Data Analysis,97932.60,Yes,Growth
Software Engineer,Transportation,Small,Singapore,Medium,Low,Data Analysis,63722.77,No,Growth
Marketing Specialist,Energy,Medium,Berlin,Low,Low,Communication,73964.26,Yes,Stable
UX Designer,Finance,Medium,San Francisco,Low,Medium,Cybersecurity,41396.16,No,Decline
UX Designer,Education,Medium,Sydney,Low,Medium,Data Analysis,109578.48,Yes,Growth
HR Manager,Technology,Medium,Berlin,Medium,High,Marketing,69869.73,Yes,Growth
UX Designer,Transportation,Medium,Sydney,High,High,Project Management,89425.83,No,Decline
Data Scientist,Technology,Small,London,Medium,High,Cybersecurity,86925.25,No,Decline
AI Researcher,Entertainment,Small,Sydney,High,Medium,Marketing,119754.54,No,Stable
Sales Manager,Technology,Small,San Francisco,Medium,Low,Cybersecurity,91705.63,No,Stable
Marketing Specialist,Technology,Small,San Francisco,Medium,Low,Marketing,106177.86,No,Stable
AI Researcher,Transportation,Medium,Singapore,Low,High,Sales,100929.28,Yes,Decline
Cybersecurity Analyst,Healthcare,Large,Toronto,High,High,Marketing,117188.23,Yes,Growth
Software Engineer,Manufacturing,Small,London,Medium,High,Machine Learning,85217.53,Yes,Growth
Data Scientist,Energy,Large,New York,Medium,High,Marketing,127392.31,No,Stable
Marketing Specialist,Energy,Small,Dubai,Low,Medium,Python,50286.76,No,Decline
AI Researcher,Finance,Small,Sydney,Low,Low,Python,107149.47,No,Growth
Software Engineer,Transportation,Large,Toronto,High,High,UX/UI Design,72667.61,No,Stable
HR Manager,Finance,Medium,Singapore,Medium,Medium,Machine Learning,80145.01,No,Growth
Data Scientist,Education,Small,Tokyo,High,High,Machine Learning,101388.29,No,Growth
Data Scientist,Education,Small,New York,Medium,High,Project Management,101228.04,Yes,Decline
HR Manager,Finance,Small,Paris,High,Low,Machine Learning,102128.56,Yes,Decline
Sales Manager,Transportation,Large,Toronto,Low,High,Project Management,62276.84,Yes,Growth
HR Manager,Finance,Medium,Tokyo,Medium,Low,UX/UI Design,118980.60,Yes,Stable
Data Scientist,Energy,Large,London,High,Low,UX/UI Design,71987.06,Yes,Decline
Data Scientist,Telecommunications,Large,Singapore,Low,Low,Sales,74654.26,No,Growth
AI Researcher,Retail,Medium,New York,Low,Medium,Python,102757.93,No,Decline
UX Designer,Technology,Large,New York,High,Medium,Marketing,84265.58,No,Decline
Software Engineer,Retail,Medium,New York,Medium,Low,Marketing,96165.22,No,Decline
HR Manager,Transportation,Small,London,Medium,High,Communication,46867.99,No,Growth
Software Engineer,Retail,Medium,Sydney,Low,Low,Communication,95686.49,No,Stable
HR Manager,Education,Small,Paris,Medium,High,JavaScript,94356.64,Yes,Stable
Cybersecurity Analyst,Entertainment,Large,London,Medium,Low,Cybersecurity,79802.83,No,Stable
Data Scientist,Technology,Large,Dubai,Medium,High,Sales,48518.48,No,Decline
UX Designer,Manufacturing,Small,Paris,Low,Medium,JavaScript,85743.83,No,Growth
AI Researcher,Transportation,Large,San Francisco,High,High,JavaScript,89252.52,No,Decline
UX Designer,Technology,Medium,Singapore,Medium,Low,Data Analysis,82655.42,Yes,Stable
UX Designer,Retail,Small,London,Low,Medium,Data Analysis,53276.51,Yes,Stable
UX Designer,Education,Large,Tokyo,Low,High,JavaScript,121894.68,No,Growth
Software Engineer,Healthcare,Small,Paris,High,High,Machine Learning,77222.77,Yes,Decline
HR Manager,Telecommunications,Medium,Dubai,Medium,High,Cybersecurity,85555.91,Yes,Stable
Operations Manager,Manufacturing,Medium,San Francisco,Medium,High,Sales,41810.51,No,Growth
Cybersecurity Analyst,Telecommunications,Large,Sydney,High,High,JavaScript,121897.11,No,Decline
Marketing Specialist,Technology,Medium,Tokyo,High,Medium,Marketing,80669.00,No,Decline
UX Designer,Education,Small,Paris,Low,Medium,Cybersecurity,91969.26,No,Stable
Sales Manager,Education,Medium,Singapore,Low,Medium,Data Analysis,112414.75,No,Stable
Software Engineer,Retail,Small,Tokyo,High,Medium,Marketing,76473.92,Yes,Decline
AI Researcher,Energy,Small,San Francisco,Medium,Low,Data Analysis,109264.90,No,Decline
Marketing Specialist,Retail,Medium,Tokyo,Low,Medium,Data Analysis,48773.49,No,Stable
Operations Manager,Energy,Large,Berlin,Low,High,Cybersecurity,101019.73,No,Decline
Sales Manager,Energy,Medium,Toronto,Medium,High,Data Analysis,121444.84,Yes,Stable
Operations Manager,Manufacturing,Small,Sydney,Low,Medium,UX/UI Design,78391.66,No,Decline
Marketing Specialist,Retail,Small,San Francisco,Medium,High,Python,112377.63,No,Stable
UX Designer,Healthcare,Medium,Tokyo,Medium,Medium,UX/UI Design,126678.45,No,Growth
Sales Manager,Finance,Large,Toronto,Medium,High,Python,84903.16,Yes,Stable
Operations Manager,Finance,Large,Toronto,High,Low,Communication,83249.43,No,Stable
AI Researcher,Retail,Small,Tokyo,High,Low,Communication,72034.13,No,Growth
HR Manager,Retail,Small,Singapore,High,Medium,Data Analysis,79805.40,No,Decline
Data Scientist,Telecommunications,Large,Berlin,Medium,Medium,Sales,73692.80,Yes,Growth
HR Manager,Manufacturing,Medium,London,Medium,Medium,Sales,72017.78,No,Stable
Marketing Specialist,Retail,Small,Berlin,High,High,Python,113976.71,No,Decline
Software Engineer,Telecommunications,Small,Tokyo,Low,Medium,Marketing,74201.48,No,Growth
Data Scientist,Energy,Large,Sydney,Medium,Low,Cybersecurity,95170.44,Yes,Decline
Cybersecurity Analyst,Education,Medium,London,Low,High,Data Analysis,90764.67,No,Decline
AI Researcher,Education,Large,San Francisco,Low,Medium,Cybersecurity,119961.89,No,Growth
Cybersecurity Analyst,Energy,Medium,Berlin,Medium,High,UX/UI Design,79936.88,No,Decline
Sales Manager,Transportation,Medium,Tokyo,Medium,High,Sales,97622.96,Yes,Growth
Data Scientist,Telecommunications,Medium,Berlin,Low,Medium,Machine Learning,105821.39,Yes,Stable
Cybersecurity Analyst,Telecommunications,Small,London,Low,High,UX/UI Design,119794.99,No,Decline
Cybersecurity Analyst,Energy,Large,Dubai,High,Low,UX/UI Design,79644.93,Yes,Stable
Operations Manager,Healthcare,Large,Paris,High,Low,Python,77642.15,Yes,Stable
HR Manager,Entertainment,Medium,Berlin,Medium,High,Project Management,68764.38,Yes,Decline
